t,dt,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z
0.0,0.021005,-0.9310482,-0.3648872,7.58e-05,0.0025723,0.0042646,0.0014356,-0.0006212,,,
0.01305000000000689,0.028985,-0.9310064,-0.3649943,9.8e-06,0.002476,0.0302695,-0.4455713,0.0961249,,,
0.033086000000011495,0.020005,-0.930986,-0.3650399,0.0002486,0.0032007,0.0361308,-0.1691434,0.082471,,,
0.05298500000000672,0.02,-0.9309815,-0.3650526,-4.41e-05,0.0030918,0.0664739,-0.2013014,0.4018236,,,
0.0740820000000042,0.021,-0.93089,-0.3652881,3.38e-05,0.0028524,-0.0318189,-0.0810813,0.3808434,,,
0.09016800000000558,0.102009,-0.93089,-0.3652881,3.38e-05,0.0028524,,,,0.0,0.0,0.0
0.1039520000000067,0.021997,-0.9308215,-0.3654653,0.0001521,0.0024771,0.4284036,-0.2835979,1.0283123,,,
0.11720600000001014,0.020999,-0.9309379,-0.3651682,-0.0002976,0.0025037,0.1556996,0.1210337,-0.253422,,,
0.13845900000001166,0.020008,-0.9309795,-0.3650566,1.29e-05,0.0031811,-0.1488424,0.0027089,-1.2805272,,,
0.15727400000000102,0.019998,-0.9309824,-0.365043,0.00018,0.0038229,0.2016179,0.2619898,-0.2831011,,,
0.17836499999999944,0.020002,-0.9310855,-0.3647845,-0.0006178,0.0031955,-0.0542737,0.4951764,0.3445258,,,
0.1956300000000084,0.101994,-0.9310855,-0.3647845,-0.0006178,0.0027267,,,,-0.6886113,-0.5844027,-0.0029278
0.20899200000000917,0.020007,-0.9311304,-0.3646736,-0.0009164,0.0027267,-0.2536994,0.6811362,0.2286594,,,
0.22221400000000813,0.024985,-0.931106,-0.3647332,-0.0010569,0.0030924,0.0052991,-0.2108464,0.2971834,,,
0.2434300000000036,0.02001,-0.9310795,-0.3647933,-0.0015608,0.003664,-0.0154627,-0.7860644,0.4552171,,,
0.2622960000000063,0.02,-0.9311334,-0.3646496,-0.0017222,0.0041792,0.0996448,-0.4855386,0.2856911,,,
0.2833740000000091,0.019998,-0.9311926,-0.36449,-0.0018695,0.0047866,-0.0106558,-0.1547337,-0.2365795,,,
0.3006340000000023,0.100009,-0.9311926,-0.36449,-0.0018695,0.0057661,,,,-0.6653601,-0.6246179,-0.0064147
0.31409299999999973,0.020014,-0.9312747,-0.3642628,-0.0022777,0.0057661,-0.1560313,0.0876112,-0.1515386,,,
0.3272350000000017,0.024985,-0.9313867,-0.3639631,-0.0027138,0.0063814,-0.0891088,-0.1693216,0.3658277,,,
0.3481790000000018,0.020996,-0.9313812,-0.363971,-0.0027177,0.0067646,-0.1185366,-0.042371,0.2243643,,,
0.3694470000000081,0.020006,-0.931353,-0.3640342,-0.0026841,0.0072605,-0.3423875,-0.147246,-0.6806035,,,
0.39047400000001176,0.099995,-0.9312931,-0.3641866,-0.0027542,0.0073007,,,,-0.4908909,-0.3895829,-0.0058902
0.40394400000000985,0.019993,-0.9312931,-0.3641866,-0.0027542,0.0073007,-0.0951974,0.1001593,-0.3056948,,,
0.4183760000000092,0.028999,-0.9312664,-0.3642502,-0.0030722,0.007415,-0.030547,0.2216342,-0.1900178,,,
0.43725400000001,0.020008,-0.9312605,-0.3642701,-0.0029808,0.0072237,0.0661474,0.1663667,-0.20224,,,
0.4572040000000044,0.019999,-0.9312433,-0.3643162,-0.0029094,0.0071392,-0.0119321,0.0972672,-0.1170426,,,
0.4769849999999991,0.020006,-0.9312204,-0.3643743,-0.00285,0.007194,-0.0448912,0.1520272,-0.3019829,,,
0.4944030000000055,0.1,-0.9312204,-0.3643743,-0.00285,0.007194,,,,-0.1069344,-0.097534,-0.0015165
0.5069950000000034,0.02199,-0.9312001,-0.364437,-0.0028957,0.0065664,-0.1110839,0.1771565,-0.1293011,,,
0.5202390000000037,0.020997,-0.9311823,-0.3644952,-0.0029418,0.0057764,-0.0484161,0.1997996,-0.0595541,,,
0.5403030000000086,0.020001,-0.9311398,-0.3646155,-0.0032195,0.0047055,-0.0353775,0.1483998,-0.0307765,,,
